"id_mandante","fecha_llamada","Countcd"
"BCI","2025-01-02 00:00:00",7
"BSA","2025-01-02 00:00:00",63
"CMR","2025-01-02 00:00:00",264
"FRM","2025-01-02 00:00:00",122
"BCI","2025-01-03 00:00:00",17
"BSA","2025-01-03 00:00:00",49
"CMR","2025-01-03 00:00:00",218
"FRM","2025-01-03 00:00:00",51
"BCI","2025-01-06 00:00:00",30
"BSA","2025-01-06 00:00:00",52
"CMR","2025-01-06 00:00:00",252
"FRM","2025-01-06 00:00:00",39
"BCI","2025-01-07 00:00:00",63
"BSA","2025-01-07 00:00:00",190
"CMR","2025-01-07 00:00:00",258
"FRM","2025-01-07 00:00:00",53
"BCI","2025-01-08 00:00:00",48
"BSA","2025-01-08 00:00:00",76
"CMR","2025-01-08 00:00:00",211
"FRM","2025-01-08 00:00:00",34
"BCI","2025-01-09 00:00:00",61
"BSA","2025-01-09 00:00:00",225
"CMR","2025-01-09 00:00:00",150
"FRM","2025-01-09 00:00:00",39
"BCI","2025-01-10 00:00:00",33
"BSA","2025-01-10 00:00:00",93
"CMR","2025-01-10 00:00:00",123
"FRM","2025-01-10 00:00:00",16
"CMR","2025-01-11 00:00:00",108
"FRM","2025-01-11 00:00:00",5
"BCI","2025-01-13 00:00:00",26
"BSA","2025-01-13 00:00:00",201
"CMR","2025-01-13 00:00:00",102
"FRM","2025-01-13 00:00:00",16
"BCI","2025-01-14 00:00:00",30
"BSA","2025-01-14 00:00:00",190
"CMR","2025-01-14 00:00:00",95
"FRM","2025-01-14 00:00:00",36
"BCI","2025-01-15 00:00:00",36
"BSA","2025-01-15 00:00:00",165
"CMR","2025-01-15 00:00:00",111
"FRM","2025-01-15 00:00:00",44
"BCI","2025-01-16 00:00:00",67
"BSA","2025-01-16 00:00:00",155
"CMR","2025-01-16 00:00:00",111
"FRM","2025-01-16 00:00:00",35
"BCI","2025-01-17 00:00:00",24
"BSA","2025-01-17 00:00:00",145
"CMR","2025-01-17 00:00:00",115
"FRM","2025-01-17 00:00:00",21
"FRM","2025-01-18 00:00:00",9
"BCI","2025-01-20 00:00:00",24
"BSA","2025-01-20 00:00:00",96
"CMR","2025-01-20 00:00:00",148
"FRM","2025-01-20 00:00:00",32
"BCI","2025-01-21 00:00:00",53
"BSA","2025-01-21 00:00:00",164
"CMR","2025-01-21 00:00:00",94
"FRM","2025-01-21 00:00:00",28
"BCI","2025-01-22 00:00:00",38
"BSA","2025-01-22 00:00:00",104
"CMR","2025-01-22 00:00:00",93
"FRM","2025-01-22 00:00:00",11
"BCI","2025-01-23 00:00:00",24
"BSA","2025-01-23 00:00:00",144
"CMR","2025-01-23 00:00:00",33
"FRM","2025-01-23 00:00:00",25
"BCI","2025-01-24 00:00:00",25
"BSA","2025-01-24 00:00:00",74
"CMR","2025-01-24 00:00:00",52
"FRM","2025-01-24 00:00:00",25
"CMR","2025-01-25 00:00:00",17
"FRM","2025-01-25 00:00:00",10
"BCI","2025-01-27 00:00:00",41
"BSA","2025-01-27 00:00:00",92
"CMR","2025-01-27 00:00:00",88
"FRM","2025-01-27 00:00:00",32
"BCI","2025-01-28 00:00:00",20
"BSA","2025-01-28 00:00:00",91
"CMR","2025-01-28 00:00:00",101
"FRM","2025-01-28 00:00:00",16
"BCI","2025-01-29 00:00:00",35
"BSA","2025-01-29 00:00:00",171
"CMR","2025-01-29 00:00:00",76
"FRM","2025-01-29 00:00:00",15
"BCI","2025-01-30 00:00:00",32
"BSA","2025-01-30 00:00:00",13
"CMR","2025-01-30 00:00:00",79
"FRM","2025-01-30 00:00:00",11
"BCI","2025-01-31 00:00:00",21
"BSA","2025-01-31 00:00:00",52
"CMR","2025-01-31 00:00:00",43
"FRM","2025-01-31 00:00:00",11
"BCI","2025-02-03 00:00:00",65
"BSA","2025-02-03 00:00:00",264
"CMR","2025-02-03 00:00:00",263
"FRM","2025-02-03 00:00:00",110
"BCI","2025-02-04 00:00:00",67
"BSA","2025-02-04 00:00:00",133
"CMR","2025-02-04 00:00:00",257
"FRM","2025-02-04 00:00:00",47
"BCI","2025-02-05 00:00:00",41
"BSA","2025-02-05 00:00:00",122
"CMR","2025-02-05 00:00:00",261
"FRM","2025-02-05 00:00:00",40
"BCI","2025-02-06 00:00:00",36
"BSA","2025-02-06 00:00:00",184
"CMR","2025-02-06 00:00:00",270
"FRM","2025-02-06 00:00:00",44
"BCI","2025-02-07 00:00:00",21
"BSA","2025-02-07 00:00:00",134
"CMR","2025-02-07 00:00:00",127
"FRM","2025-02-07 00:00:00",20
"BCI","2025-02-08 00:00:00",7
"BSA","2025-02-08 00:00:00",40
"CMR","2025-02-08 00:00:00",74
"FRM","2025-02-08 00:00:00",7
"BCI","2025-02-10 00:00:00",34
"BSA","2025-02-10 00:00:00",105
"CMR","2025-02-10 00:00:00",218
"FRM","2025-02-10 00:00:00",22
"BCI","2025-02-11 00:00:00",30
"BSA","2025-02-11 00:00:00",97
"CMR","2025-02-11 00:00:00",114
"FRM","2025-02-11 00:00:00",36
"BCI","2025-02-12 00:00:00",32
"BSA","2025-02-12 00:00:00",162
"CMR","2025-02-12 00:00:00",149
"FRM","2025-02-12 00:00:00",8
"BCI","2025-02-13 00:00:00",28
"BSA","2025-02-13 00:00:00",127
"CMR","2025-02-13 00:00:00",169
"FRM","2025-02-13 00:00:00",33
"BCI","2025-02-14 00:00:00",13
"BSA","2025-02-14 00:00:00",98
"CMR","2025-02-14 00:00:00",83
"FRM","2025-02-14 00:00:00",14
"BSA","2025-02-15 00:00:00",1
"FRM","2025-02-15 00:00:00",2
"BCI","2025-02-17 00:00:00",43
"BSA","2025-02-17 00:00:00",157
"CMR","2025-02-17 00:00:00",130
"FRM","2025-02-17 00:00:00",23
"BCI","2025-02-18 00:00:00",52
"BSA","2025-02-18 00:00:00",52
